88games.zip	'88 Games
flagrall.zip	'96 Flag Rally
99lstwark.zip	'99: The Last War (Kyugo)
99lstwarb.zip	'99: The Last War (bootleg)
99lstwar.zip	'99: The Last War (set 1)
99lstwara.zip	'99: The Last War (set 2)
10yard85.zip	10-Yard Fight '85 (US, Taito license)
10yardj.zip	10-Yard Fight (Japan)
10yard.zip	10-Yard Fight (World, set 1)
gtmro.zip	1000 Miglia: Great 1000 Miles Rally (94/05/10)
gtmrb.zip	1000 Miglia: Great 1000 Miles Rally (94/05/26)
gtmra.zip	1000 Miglia: Great 1000 Miles Rally (94/06/13)
gtmr.zip	1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)
cprogolf18.zip	18 Challenge Pro Golf (DECO Cassette) (Japan)
progolf.zip	18 Holes Pro Golf (set 1)
1941u.zip	1941 - Counter Attack (900227 USA)
1941.zip	1941 - Counter Attack (900227 World)
1941j.zip	1941 - Counter Attack (Japan)
1941r1.zip	1941 - Counter Attack (World)
1942c64.zip	1942 (C64 Music)
1942b.zip	1942 (First Version)
1942a.zip	1942 (Revision A)
1942abl.zip	1942 (Revision A, bootleg)
1942.zip	1942 (Revision B)
1942w.zip	1942 (Williams Electronics license)
1943kai.zip	1943 Kai: Midway Kaisen (Japan)
1943ja.zip	1943: Midway Kaisen (Japan)
1943j.zip	1943: Midway Kaisen (Japan, Rev B)
1943jah.zip	1943: Midway Kaisen (Japan, no protection hack)
1943jaha.zip	1943: Midway Kaisen (Japan, no protection hack, alt)
1943bj.zip	1943: Midway Kaisen (bootleg)
1943.zip	1943: The Battle of Midway (Euro)
1943ua.zip	1943: The Battle of Midway (US)
1943u.zip	1943: The Battle of Midway (US, Rev C)
1943b.zip	1943: The Battle of Midway (bootleg set 1, hack of Japan set)
1943b2.zip	1943: The Battle of Midway (bootleg set 2, hack of Japan set)
1943mii.zip	1943: The Battle of Midway Mark II (US)
1944.zip	1944 - the loop master (000620 Euro)
1944j.zip	1944 - the loop master (000620 Japan)
1944d.zip	1944 - the loop master (000620 USA Phoenix Edition)
1944ad.zip	1944 - the loop master (000620 USA Phoenix Edition, alt)
1944u.zip	1944 - the loop master (000620 USA)
bgareggabl.zip	1945 Part 2 (Chinese hack of Battle Garegga)
1945kiiin.zip	1945k III (newer, OPCX1 PCB)
1945kiii.zip	1945k III (newer, OPCX2 PCB)
1945kiiio.zip	1945k III (older, OPCX1 PCB)
19xxar1.zip	19XX - the war against destiny (951207 Asia)
19xxjr2.zip	19XX - the war against destiny (951207 Japan)
19xxd.zip	19XX - the war against destiny (951207 USA Phoenix Edition)
19xxu.zip	19XX - the war against destiny (951207 USA)
19xxb.zip	19XX - the war against destiny (951218 Brazil)
19xxh.zip	19XX - the war against destiny (951218 Hispanic)
19xxjr1.zip	19XX - the war against destiny (951225 Japan)
19xxa.zip	19XX - the war against destiny (960104 Asia)
19xx.zip	19XX - the war against destiny (960104 Euro)
19xxj.zip	19XX - the war against destiny (960104 Japan, yellow case)
openice.zip	2 On 2 Open Ice Challenge (rev 1.21)
openicea.zip	2 On 2 Open Ice Challenge (rev 1.2A)
2020bb.zip	2020 Super Baseball (set 1)
2020bba.zip	2020 Super Baseball (set 2)
2020bbh.zip	2020 Super Baseball (set 3)
3countba.zip	3 Count Bout / Fire Suplex (NGM-043)
3countb.zip	3 Count Bout / Fire Suplex (NGM-043)(NGH-043)
3on3dunk.zip	3 On 3 Dunk Madness (US, prototype? 1997/02/04)
3x3puzzl.zip	3X3 Puzzle (Enterprise)
3x3puzzla.zip	3X3 Puzzle (Normal)
4enraya.zip	4 En Raya (set 1)
4enrayaa.zip	4 En Raya (set 2)
4in1.zip	4 Fun in 1
4play.zip	4 player input test
4dwarrio.zip	4-D Warriors (315-5162)
600.zip	600
64streetja.zip	64th. Street - A Detective Story (Japan, alt)
64streetj.zip	64th. Street - A Detective Story (Japan, set 1)
64street.zip	64th. Street - A Detective Story (World)
7ordi.zip	7 Ordi (Korea)
800fath.zip	800 Fathoms
800fatha.zip	800 Fathoms (older)
ablast.zip	A-Blast (Japan)
abcopjd.zip	A.B. Cop (Japan, FD1094 317-0169b decrypted)
abcopj.zip	A.B. Cop (Japan, FD1094 317-0169b)
abcopd.zip	A.B. Cop (World, FD1094 317-0169b decrypted)
abcop.zip	A.B. Cop (World, FD1094 317-0169b)
ad2083.zip	A.D. 2083
aso.zip	ASO - Armored Scrum Object
abscam.zip	Abscam
aceattac.zip	Ace Attacker (FD1094 317-0059)
aceattaca.zip	Ace Attacker (Japan, System 16A, FD1094 317-0060)
acrobatm.zip	Acrobat Mission
dogfgt.zip	Acrobatic Dog-Fight
dogfgtu.zip	Acrobatic Dog-Fight (USA)
actfancrj.zip	Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
actfancr1.zip	Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancr2.zip	Act-Fancer Cybernetick Hyper Weapon (World revision 2)
actfancr.zip	Act-Fancer Cybernetick Hyper Weapon (World revision 3)
afighterc.zip	Action Fighter (FD1089B 317-unknown)
afighterd.zip	Action Fighter (FD1089B 317-unknown, analog controls)
afighterh.zip	Action Fighter (System 16B, FD1089A 317-0018)
afighterg.zip	Action Fighter (System 16B, FD1089B 317-unknown)
afighterf.zip	Action Fighter (System 16B, FD1089B 317-unknown, analog controls)
afightere.zip	Action Fighter (System 16B, unprotected, analog controls)
afightera.zip	Action Fighter (unprotected)
afighterb.zip	Action Fighter (unprotected, analog controls)
afighter.zip	Action Fighter, FD1089A 317-0018
actionhw.zip	Action Hollywood
hatena.zip	Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228)
cworld2j.zip	Adventure Quiz Capcom World 2 (920611 Japan)
cworld2ja.zip	Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery)
