005.zip	005
10yard.zip	10-Yard Fight (World, set 1)
10yard85.zip	10-Yard Fight '85 (US, Taito license)
10yardj.zip	10-Yard Fight (Japan)
11beat.zip	Eleven Beat
18wheelr.zip	18 Wheeler (JPN)
1941.zip	1941: Counter Attack (World)
1941j.zip	1941: Counter Attack (Japan)
1942.zip	1942 (Revision B)
1942a.zip	1942 (Revision A)
1942abl.zip	1942 (Revision A, bootleg)
1942b.zip	1942 (First Version)
1942w.zip	1942 (Williams Electronics license)
1943.zip	1943: The Battle of Midway (Euro)
1943j.zip	1943: Midway Kaisen (Japan)
1943kai.zip	1943 Kai: Midway Kaisen (Japan)
1943u.zip	1943: The Battle of Midway (US)
1944.zip	1944: The Loop Master (USA 000620)
1944d.zip	1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)
1944j.zip	1944: The Loop Master (Japan 000620)
1945kiii.zip	1945k III
19xx.zip	19XX: The War Against Destiny (USA 951207)
19xxa.zip	19XX: The War Against Destiny (Asia 951207)
19xxb.zip	19XX: The War Against Destiny (Brazil 951218)
19xxd.zip	19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)
19xxh.zip	19XX: The War Against Destiny (Hispanic 951218)
19xxj.zip	19XX: The War Against Destiny (Japan 951225)
19xxjr1.zip	19XX: The War Against Destiny (Japan 951207)
1on1gov.zip	1 on 1 Government (Japan)
2020bb.zip	2020 Super Baseball (set 1)
2020bba.zip	2020 Super Baseball (set 2)
2020bbh.zip	2020 Super Baseball (set 3)
20pacgal.zip	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)
20pacgalr1.zip	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)
20pacgalr2.zip	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)
20pacgalr4.zip	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)
280zzzap.zip	Datsun 280 Zzzap
2mindril.zip	Two Minute Drill
39in1.zip	39 in 1 MAME bootleg
3bagflnz.zip	3 Bags Full - 3VXFC5345 (New Zealand)
3countb.zip	3 Count Bout / Fire Suplex
3ds.zip	Three Ds - Three Dealers Casino House
3in1semi.zip	XESS - The New Revolution (SemiCom 3-in-1)
3kokushi.zip	Sankokushi (Japan)
3stooges.zip	The Three Stooges In Brides Is Brides
3super8.zip	3 Super 8 (Italy)
3wonders.zip	Three Wonders (World 910520)
