2020bb.neo	2020 Super Baseball (set 1)
2020bba.neo	2020 Super Baseball (set 2)
2020bbh.neo	2020 Super Baseball (set 3)
3countb.neo	3 Count Bout _ Fire Suplex (NGM-043)(NGH-043)
sonicwi2.neo	Aero Fighters 2 / Sonic Wings 2
sonicwi3.neo	Aero Fighters 3 / Sonic Wings 3
aodk.neo	Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008)
alpham2.neo	Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007)
alpham2p.neo	Alpha Mission II / ASO II - Last Guardian (prototype)
androdun.neo	Andro Dunos (NGM-049)(NGH-049)
aof.neo	Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044)
aof2a.neo	Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056)
aof2.neo	Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)
aof3k.neo	Art of Fighting 3 - The Path of the Warrior (Korean release)
aof3k.neo	Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden
bakatono.neo	Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002)
b2b.neo	Bang Bang Busters (2010 NCI release)
bangbead.neo	Bang Bead
bstars2.neo	Baseball Stars 2
bstarsh.neo	Baseball Stars Professional (NGH-002)
bstars.neo	Baseball Stars Professional (NGM-002)
flipshot.neo	Battle Flip Shot
blazstar.neo	Blazing Star
bjourneyh.neo	Blue's Journey / Raguy (ALH-001)
bjourney.neo	Blue's Journey / Raguy (ALM-001)(ALH-001)
breakrev.neo	Breakers Revenge
breakers.neo	Breakers
burningfh.neo	Burning Fight (NGH-018)(US)
burningf.neo	Burning Fight (NGM-018)(NGH-018)
burningfpa.neo	Burning Fight (prototype, near final, ver 23.3, 910326)
burningfpb.neo	Burning Fight (prototype, newer, V07)
burningfp.neo	Burning Fight (prototype, older)
ctomaday.neo	Captain Tomaday
marukodq.neo	Chibi Marukochan Deluxe Quiz
ironclad.neo	Choutetsu Brikin'ger - Iron Clad (prototype)
ironclado.neo	Choutetsu Brikin'ger - Iron Clad (prototype, bootleg)
crsword.neo	Crossed Swords (ALM-002)(ALH-002)
crswd2bl.neo	Crossed Swords 2 (bootleg of CD version)
cthd2003.neo	Crouching Tiger Hidden Dragon 2003 (hack of The King of Fighters 2001)
ct2k3sp.neo	Crouching Tiger Hidden Dragon 2003 Super Plus (hack of The King of Fighters 2001)
ct2k3sa.neo	Crouching Tiger Hidden Dragon 2003 Super Plus (hack of The King of Fighters 2001, alternate).neo
cyberlip.neo	Cyber-Lip (NGM-010)
diggerma.neo	Digger Man [Homebrew]
doubledr.neo	Double Dragon (Neo-Geo)
dragonsh.neo	Dragon's Heaven (development board)
eightman.neo	Eight Man (NGM-025)(NGH-025)
kabukikl.neo	Far East of Eden - Kabuki Klash _ Tengai Makyou - Shin Den
fatfury1.neo	Fatal Fury - King of Fighters _ Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033)
fatfury2.neo	Fatal Fury 2 _ Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047)
