platform,path,display_name,emulator_command,extension
arduboy,archive:ni-roms/roms/Arduboy Inc - Arduboy.zip,NoIntro,arduous_libretro,
arduboy,archive:tosec-main/Arduboy/Arduboy/Games/[HEX],TOSEC,arduous_libretro,
uzebox,archive:mame-sl/mame-sl/uzebox.zip,MAME,mame uzebox -cart,
commanderx16,archive:tosec-main/8-Bit Productions/Commander X16/Games/[IMG],IMG,x16emu,img
commanderx16,archive:tosec-main/8-Bit Productions/Commander X16/Games/[PRG],PRG,x16emu,prg
vircon32,archive:all_vircon32_roms_and_media/all_vircon32_roms_and_media,Vircon32,vircon32_libretro,
pdp1,archive:mame-sl/mame-sl/pdp1_ptp.zip,MAME,mame pdp1 -ptap1,
atari2600,archive:a2600_romhunter/Atari-2600-VCS-ROM-Collection.zip#ROMS,ROMS,stella_libretro,
atari2600,archive:ni-roms/roms/Atari - 2600.zip,NoIntro,stella_libretro,
atari2600,archive:tosec-main/Atari/2600 & VCS/Games,TOSEC,stella_libretro,
atari2600,archive:tosec-main/Atari/2600 & VCS/Homebrew/Games/[BIN],Homebrew,stella_libretro,
atari2600,archive:tosec-main/Atari/2600 & VCS/Applications,Applications,stella_libretro,
atari2600,archive:tosec-main/Atari/2600 & VCS/Educational,Educational,stella_libretro,
atari2600,archive:mame-sl/mame-sl/a2600.zip,MAME,mame a2600 -cart,
atari2600,archive:mame-sl/mame-sl/a2600_cass.zip,Cass MAME,mame a2600 scharger -cass,
atari5200,archive:ni-roms/roms/Atari - 5200.zip,NoIntro,a5200_libretro,
atari5200,archive:tosec-main/Atari/5200/Games,TOSEC,a5200_libretro,
atari5200,archive:tosec-main/Atari/5200/Homebrew/Games,Homebrew,a5200_libretro,
atari5200,archive:tosec-main/Atari/5200/Applications,App,a5200_libretro,
atari5200,archive:mame-sl/mame-sl/a5200.zip,MAME,mame a5200 -cart,
atari7800,archive:ni-roms/roms/Atari - 7800 (BIN).zip,NoIntro,prosystem_libretro,
atari7800,archive:tosec-main/Atari/7800/Games,TOSEC,prosystem_libretro,
atari7800,archive:tosec-main/Atari/7800/Homebrew/Games,Homebrew,prosystem_libretro,
atari7800,archive:tosec-main/Atari/7800/Applications,App,prosystem_libretro,
atari7800,archive:mame-sl/mame-sl/a7800.zip,MAME,mame a7800 -cart,
jaguar,archive:ni-roms/roms/Atari - Jaguar (J64).zip,NoIntro,virtualjaguar_libretro,
jaguar,archive:tosec-main/Atari/Jaguar/Games/[J64],TOSEC,virtualjaguar_libretro,
jaguar,archive:mame-sl/mame-sl/jaguar.zip,MAME,mame jaguar -cart,
jaguarcd,archive:atari-jaguarcd-redump,Redump,bigpemu,cue
jaguarcd,archive:non-redump_atari-jaguar-cd,NonRedump,bigpemu,cdi
lynx,archive:ni-roms/roms/Atari - Lynx (LYX).zip,NoIntro,mednafen_lynx_libretro,
lynx,archive:tosec-main/Atari/Lynx/Games/[LNX],TOSEC,mednafen_lynx_libretro,
lynx,archive:mame-sl/mame-sl/lynx.zip,MAME,mame lynx -cart,bin
atari800,archive:ni-roms/roms/Atari - 8-bit Family.zip,NoIntro,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Games/[ATR],ATR,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Games/[ATX],ATX,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Games/[BIN],BIN,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Games/[CAS],CAS,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Games/[XEX],XEX,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Applications/[ATR],App ATR,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Applications/[BIN],App BIN,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Applications/[CAS],App CAS,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Applications/[XEX],App XEX,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Educational/[ATR],Edu ATR,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Educational/[BIN],Edu BIN,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Educational/[CAS],Edu CAS,atari800_libretro,
atari800,archive:tosec-main/Atari/8bit/Educational/[XEX],Edu XEX,atari800_libretro,
atari800,archive:mame-sl/mame-sl/a800.zip,MAME,mame a800 -cart1,
atari800,archive:mame-sl/mame-sl/a800_flop.zip,Flop MAME,mame a800 -flop1,
xegs,archive:mame-sl/mame-sl/xegs.zip,MAME,mame xegs -cart,
atarist,archive:ni-roms/roms/Atari - ST.zip,NoIntro,hatari_libretro,
atarist,archive:tosec-main/Atari/ST/Games/[ST],ST,hatari_libretro,
atarist,archive:tosec-main/Atari/ST/Games/[STX],STX,hatari_libretro,
atarist,archive:tosec-main/Atari/ST/Applications/[ST],App ST,hatari_libretro,
atarist,archive:tosec-main/Atari/ST/Applications/[STX],App STX,hatari_libretro,
atarist,archive:tosec-main/Atari/ST/Educational/[ST],Edu ST,hatari_libretro,
atarist,archive:tosec-main/Atari/ST/Educational/[STX],Edu STX,hatari_libretro,
atarist,archive:mame-sl/mame-sl/st_flop.zip,MAME,mame st -flop,
apple1,archive:tosec-main/Apple/1/Games,TOSEC,mame apple1 -cass,
apple1,archive:tosec-main/Apple/1/Applications,App,mame apple1 -cass,
apple1,archive:mame-sl/mame-sl/apple1.zip,MAME,mame apple1 -cass,
apple2,archive:tosec-main/Apple/II/Games/[DSK],DSK,mame apple2ee -flop1,
apple2,archive:tosec-main/Apple/II/Games/[WOZ],WOZ,mame apple2ee -flop1,
apple2,archive:tosec-main/Apple/II/Educational/[DSK],Edu DSK,mame apple2ee -flop1,
apple2,archive:tosec-main/Apple/II/Educational/[WOZ],Edu WOZ,mame apple2ee -flop1,
apple2,archive:tosec-main/Apple/II/Applications/[DSK],App DSK,mame apple2ee -flop1,
apple2,archive:tosec-main/Apple/II/Applications/[WOZ],App WOZ,mame apple2ee -flop1,
apple2,archive:mame-sl/mame-sl/apple2_flop_clcracked.zip,Cracked MAME,mame apple2ee -flop1,
apple2,archive:mame-sl/mame-sl/apple2_flop_misc.zip,Misc MAME,mame apple2ee -flop1,
apple2,archive:mame-sl/mame-sl/apple2_flop_orig.zip,Orig MAME,mame apple2ee -flop1,
apple2,archive:mame-sl/mame-sl/apple2_cass.zip,Cass MAME,mame apple2ee -cass,
apple2gs,archive:tosec-main/Apple/IIGS/Games/[2MG],2MG,mame apple2gs -flop3,
apple2gs,archive:tosec-main/Apple/IIGS/Educational/[2MG],Edu,mame apple2gs -flop3,
apple2gs,archive:tosec-main/Apple/IIGS/Applications/[2MG],App,mame apple2gs -flop3,
apple2gs,archive:mame-sl/mame-sl/apple2gs_flop_clcracked.zip,Cracked MAME,mame apple2gs -flop3,
apple2gs,archive:mame-sl/mame-sl/apple2gs_flop_misc.zip,Misc MAME,mame apple2gs -flop3,
apple2gs,archive:mame-sl/mame-sl/apple2gs_flop_orig.zip,Orig MAME,mame apple2gs -flop3,
apple3,archive:tosec-main/Apple/III/Games,TOSEC,mame apple3 -flop1,
apple3,archive:tosec-main/Apple/III/Applications/[DSK],App DSK,mame apple3 -flop1,
apple3,archive:tosec-main/Apple/III/Applications/[PO],App PO,mame apple3 -flop1,
apple3,archive:tosec-main/Apple/III/Collections/WAP III SIG Public Domain Library,WAP PD,mame apple3 -flop1,
apple3,archive:mame-sl/mame-sl/apple3.zip,MAME,mame apple3 -flop1,
