platform,display_name,thumbnail
arduboy,Arduboy,Arduboy Inc - Arduboy
uzebox,Uzebox,Uzebox
commanderx16,Commander X16,Commander - X16
vircon32,Vircon32,Vircon32
chip8,CHIP-8,CHIP-8
,Atari,
atari2600,Atari 2600,Atari - 2600
atari5200,Atari 5200,Atari - 5200
atari7800,Atari 7800,Atari - 7800
atarijaguar,Atari Jaguar,Atari - Jaguar
atarijaguarcd,Atari Jaguar CD,Atari - Jaguar
atarilynx,Atari Lynx,Atari - Lynx
atari800,Atari 800,Atari - 8-bit
xegs,Atari XEGS,Atari - XEGS
atarist,Atari ST,Atari - ST
,Apple,
apple1,Apple I,Apple - I
apple2,Apple II,Apple - II
apple2gs,Apple IIGS,Apple - IIGS
apple3,Apple III,Apple - III
lisa,Apple Lisa,Apple - Lisa
pippin,Apple Pippin,Apple - Pippin
macintosh,Apple Macintosh,Apple - Macintosh
,Sinclair & Amstrad,
zx80,Sinclair ZX80,Sinclair - ZX 80
zx81,Sinclair ZX81,Sinclair - ZX 81
zxspectrum,Sinclair ZX Spectrum,Sinclair - ZX Spectrum
specpls3,Sinclair ZX Spectrum +3,Sinclair - ZX Spectrum +3
ql,Sinclair QL,Sinclair - QL
amstradcpc,Amstrad CPC,Amstrad - CPC
gx4000,Amstrad GX4000,Amstrad - GX4000
pcw,Amstrad PCW,Amstrad - PCW
,Commodore,
pet,Commodore PET,Commodore - PET
cplus4,Commodore Plus-4,Commodore - Plus-4
vic10,Commodore VIC-10,Commodore - VIC-10
vic20,Commodore VIC-20,Commodore - VIC-20
cbm2,Commodore CBM-II,Commodore - CBM-II
c64,Commodore 64,Commodore - 64
c128,Commodore 128,Commodore - 128
amiga500,Commodore Amiga,Commodore - Amiga
amiga1200,Commodore Amiga CD,Commodore - Amiga
amigacd32,Commodore Amiga CD32,Commodore - CD32
,Nintendo,
nes,Nintendo Entertainment System,Nintendo - Nintendo Entertainment System
famicom,Nintendo Family Computer,Nintendo - Nintendo Entertainment System
fds,Nintendo Family Disk System,Nintendo - Family Computer Disk System
snes,Nintendo Super NES,Nintendo - Super Nintendo Entertainment System
snes-msu1,Nintendo SNES MSU-1,Nintendo - Super Nintendo Entertainment System
satellaview,Nintendo Satellaview,Nintendo - Satellaview
sufami,Nintendo Sufami Turbo,Nintendo - Sufami Turbo
sgb,Nintendo Super Game Boy,Nintendo - Game Boy
sgb-msu1,Nintendo Game Boy MSU-1,Nintendo - Super Nintendo Entertainment System
n64,Nintendo 64,Nintendo - Nintendo 64
n64dd,Nintendo 64DD,Nintendo - Nintendo 64DD
gc,Nintendo Gamecube,Nintendo - GameCube
wii,Nintendo Wii,Nintendo - Wii
pokemini,Nintendo Pokémon Mini,Nintendo - Pokemon Mini
virtualboy,Nintendo Virtual Boy,Nintendo - Virtual Boy
gb,Nintendo Game Boy,Nintendo - Game Boy
